task,variant,metric,mean,std,n_seeds
mg,v2,auc,0.5393840189861344,0.009827797545766266,3
mg,v2,ap,0.3604750387729043,0.003171980834034792,3
mg,v2,precision,0.3473869126043039,0.01987476240489199,3
mg,v2,recall,0.7045454545454545,0.41783582524659624,3
mg,v2,f1,0.39149066421793693,0.15345537430708975,3
mg,v2,accuracy,0.4360712387028176,0.14529333914332837,3
mg,v2,mrr,0.6380249867091972,0.006544286551892711,3
mg,v2,hits@1,0.36762360446570974,0.013260198682867525,3
mg,v2,hits@3,1.0,0.0,3
mg,v2,hits@5,1.0,0.0,3
mg,v2,train_time_s,0.6682478939959159,0.2543196142891047,3
mg,v2,eval_time_s,0.0037584016487623253,4.134226206880977e-06,3
mg,v2,elapsed_time_s,0.795463335661528,0.3817018951383183,3
mg,v2,time_to_best_s,0.42740806196040165,0.25370975504467785,3
mg,v2,best_val_loss,0.8863125642140707,0.29627096158436433,3
mg,v2,best_epoch,19.0,6.164414002968976,3
mg,v2,epochs_trained,34.0,6.164414002968976,3
