task,variant,metric,mean,std,n_seeds
ml,v4,auc,0.4548121910164482,0.006699960203589759,3
ml,v4,ap,0.04400194440532015,0.0006272624603589994,3
ml,v4,precision,0.05000000000000001,6.938893903907228e-18,3
ml,v4,recall,1.0,0.0,3
ml,v4,f1,0.09523809523809523,0.0,3
ml,v4,accuracy,0.05000000000000001,6.938893903907228e-18,3
ml,v4,mrr,0.15188531499728855,0.006311861519891149,3
ml,v4,hits@1,0.03349282296650718,0.00352143575212434,3
ml,v4,hits@3,0.11323763955342903,0.015141018776752412,3
ml,v4,hits@5,0.1945773524720893,0.010890351103467042,3
ml,v4,train_time_s,0.3272321973539268,0.1621355085174745,3
ml,v4,eval_time_s,0.002906504669226706,1.0050508389484851e-05,3
ml,v4,elapsed_time_s,0.4684284656541422,0.2982015128966936,3
ml,v4,time_to_best_s,0.12870091366736838,0.16197755698112531,3
ml,v4,best_val_loss,0.6943198045094808,0.0004410441956779955,3
ml,v4,best_epoch,1.0,0.0,3
