task,variant,metric,mean,std,n_seeds
md,v1,auc,0.5093212799374411,0.0008055384405432961,3
md,v1,ap,0.07974023398378068,0.001241975773328559,3
md,v1,precision,0.05000000000000001,6.938893903907228e-18,3
md,v1,recall,1.0,0.0,3
md,v1,f1,0.09523809523809523,0.0,3
md,v1,accuracy,0.05000000000000001,6.938893903907228e-18,3
md,v1,mrr,0.2656120281558662,0.002058906931835234,3
md,v1,hits@1,0.12838915470494416,0.005379081963011176,3
md,v1,hits@3,0.28708133971291866,0.004257208234462247,3
md,v1,hits@5,0.3867623604465709,0.002033101879422975,3
md,v1,train_time_s,38.378119593001124,1.0273182174064805,3
md,v1,eval_time_s,0.10559982699730124,0.0002099708211869725,3
md,v1,elapsed_time_s,38.77954291567827,1.1314682865161385,3
md,v1,time_to_best_s,9.223386252337756,1.0512080318345018,3
md,v1,best_val_loss,0.7170108556747437,0.0066060719616617735,3
md,v1,best_epoch,4.666666666666667,0.4714045207910317,3
