task,variant,metric,mean,std,n_seeds
md,v3,auc,0.5079231601157836,0.0020883116458506865,3
md,v3,ap,0.07802185264675064,0.0007594927053807069,3
md,v3,precision,0.05000000000000001,6.938893903907228e-18,3
md,v3,recall,1.0,0.0,3
md,v3,f1,0.09523809523809523,0.0,3
md,v3,accuracy,0.05000000000000001,6.938893903907228e-18,3
md,v3,mrr,0.26196080926423704,0.0016032923919943422,3
md,v3,hits@1,0.12320574162679426,0.002930011654046862,3
md,v3,hits@3,0.2838915470494418,0.004511048045847191,3
md,v3,hits@5,0.3883572567783094,0.001127762011461778,3
md,v3,train_time_s,0.3929234230114768,0.1550338264858196,3
md,v3,eval_time_s,0.003879907657392323,7.428120823423476e-05,3
md,v3,elapsed_time_s,0.5337247076677158,0.28997390570010356,3
md,v3,time_to_best_s,0.15064039966091514,0.14711736021668895,3
md,v3,best_val_loss,0.6776543656984965,0.0010541339311470163,3
md,v3,best_epoch,2.3333333333333335,1.8856180831641267,3
md,v3,epochs_trained,17.333333333333332,1.8856180831641267,3
