variant,n_seeds,accuracy,precision_macro,recall_macro,micro_f1,macro_f1,train_time_s,elapsed_time_s,time_to_best_s,best_epoch,epochs_trained
No Changes,3,0.5097 ± 0.0187,0.1393 ± 0.0655,0.1806 ± 0.0368,0.5097 ± 0.0187,0.1504 ± 0.0550,5.45 ± 0.47,5.75 ± 0.68,0.82 ± 0.73,21.0 ± 18.3,200.0 ± 0.0
Exact 2-Hop,3,0.4938 ± 0.0063,0.1704 ± 0.0619,0.1626 ± 0.0047,0.4938 ± 0.0063,0.1377 ± 0.0082,233.28 ± 0.27,233.57 ± 0.27,21.74 ± 5.49,18.7 ± 4.7,200.0 ± 0.0
