seed,super_epochs_ran,variant_epochs_ran,optimizer_steps,training_seconds,best_mean_val_macro_f1,mean_test_Accuracy,mean_test_Precision_macro,mean_test_Recall_macro,mean_test_Micro_F1,mean_test_Macro_F1,mean_test_edge_count,mean_test_p1_mapping_count,mean_test_c2_mapping_count,parameter_bytes,buffer_bytes,static_model_bytes,checkpoint_bytes,process_peak_rss_bytes,training_gpu_allocated_bytes,training_gpu_reserved_bytes,training_gpu_peak_allocated_bytes,training_gpu_peak_reserved_bytes,inference_gpu_allocated_bytes,inference_gpu_reserved_bytes,inference_gpu_peak_allocated_bytes,inference_gpu_peak_reserved_bytes
1566911444,45,180,180,9.784116288879886,0.6093878395748203,0.5927033492822966,0.6092122231798668,0.5886622368653923,0.5927033492822966,0.5883775447987386,39698.0,15698.0,39698.0,2511372,0,2511372,2520840,1374998528,772756480,2264924160,2231748096,2264924160,772756480,1321205760,1312710144,1321205760
20241017,43,172,172,8.43244797596708,0.6388930783793656,0.6103468899521531,0.6172359580102389,0.6108943913165766,0.6103468899521531,0.6090976261898196,39698.0,15698.0,39698.0,2511372,0,2511372,2520840,1801871360,772756480,2264924160,2231748096,2264924160,772756480,1321205760,1312710144,1321205760
20251017,83,332,332,16.36308423592709,0.6205921119753791,0.5804425837320574,0.5848673974987018,0.578104185561821,0.5804425837320574,0.5793581264889663,39698.0,15698.0,39698.0,2511372,0,2511372,2520840,1805561856,772756480,2264924160,2231748096,2264924160,772756480,1321205760,1312710144,1321205760
