super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v2,val_loss_v2,train_loss_v3,val_loss_v3,train_loss_v4,val_loss_v4
1,"v4,v2,v1,v3",4,4,4,4,0.690179780125618,0.7485918700695038,0.7485918700695038,0.11644154717214406,0.6908708810806274,0.7401829361915588,0.6926281452178955,0.7569565773010254,0.6840764880180359,0.7481558918952942,0.6931436061859131,0.7490720748901367
2,"v1,v2,v4,v3",8,8,8,8,0.6223122477531433,1.9261283576488495,0.7485918700695038,0.09357357793487608,0.6715232729911804,1.6810317039489746,0.628442108631134,2.1669788360595703,0.6134749054908752,1.9315928220748901,0.5758087038993835,1.924910068511963
3,"v1,v3,v4,v2",12,12,12,12,0.4758670777082443,1.5824634432792664,0.7485918700695038,0.09354086592793465,0.5090827941894531,1.146442174911499,0.441659152507782,2.070206642150879,0.47910600900650024,1.5537222623825073,0.47362035512924194,1.5594826936721802
4,"v4,v1,v2,v3",16,16,16,16,0.38293253630399704,2.912553161382675,0.7485918700695038,0.09403603500686586,0.3611307740211487,1.7025636434555054,0.4599488377571106,4.278985977172852,0.31194061040878296,2.8776750564575195,0.3987099230289459,2.790987968444824
5,"v1,v3,v2,v4",20,20,20,20,0.2834683991968632,1.6576184332370758,0.7485918700695038,0.09579009911976755,0.3327406346797943,1.0796595811843872,0.2574136257171631,2.310732841491699,0.2950030267238617,1.6249148845672607,0.2487163096666336,1.615166425704956
6,"v3,v2,v4,v1",24,24,24,24,0.2166360728442669,3.371482878923416,0.7485918700695038,0.09469418204389513,0.21287308633327484,1.7551521062850952,0.2101457715034485,5.036545753479004,0.2391045093536377,3.264580726623535,0.20442092418670654,3.4296529293060303
7,"v3,v4,v1,v2",28,28,28,28,0.17015371099114418,3.7566630840301514,0.7485918700695038,0.09479121305048466,0.15288376808166504,2.024346113204956,0.17235368490219116,5.570911407470703,0.1967117190361023,3.6838479042053223,0.15866567194461823,3.747546911239624
8,"v1,v3,v4,v2",32,32,32,32,0.1227871235460043,3.45139679312706,0.7485918700695038,0.09395019989460707,0.13259674608707428,1.839138388633728,0.11346446722745895,5.148840427398682,0.12760069966316223,3.394244909286499,0.11748658120632172,3.423363447189331
9,"v2,v1,v4,v3",36,36,36,36,0.09685403294861317,3.6013637483119965,0.7485918700695038,0.09673209488391876,0.11287810653448105,1.8167699575424194,0.10100090503692627,5.50022029876709,0.08526156842708588,3.544661045074463,0.08827555179595947,3.5438036918640137
10,"v1,v2,v4,v3",40,40,40,40,0.06457799673080444,5.801927745342255,0.7485918700695038,0.0960681140422821,0.08282166719436646,2.794955015182495,0.06499138474464417,8.94790267944336,0.05427068471908569,5.731446266174316,0.05622825026512146,5.733407020568848
11,"v4,v3,v1,v2",44,44,44,44,0.04050349909812212,6.723138988018036,0.7485918700695038,0.09538863808847964,0.039634861052036285,3.1450860500335693,0.033926963806152344,10.472784042358398,0.043576087802648544,6.629584312438965,0.044876083731651306,6.645101547241211
12,"v2,v4,v1,v3",48,48,48,48,0.027999479789286852,6.297211050987244,0.7485918700695038,0.09513535094447434,0.030333276838064194,2.8663148880004883,0.031150812283158302,9.913739204406738,0.024554459378123283,6.188845157623291,0.025959370657801628,6.219944953918457
13,"v4,v1,v2,v3",52,52,52,52,0.019796004984527826,6.701499700546265,0.7485918700695038,0.09405114408582449,0.022554604336619377,3.0953526496887207,0.019317805767059326,10.50790023803711,0.016070891171693802,6.538530349731445,0.0212407186627388,6.664215564727783
14,"v2,v3,v4,v1",56,56,56,56,0.01345587894320488,7.698428690433502,0.7485918700695038,0.09306445484980941,0.014321343973279,3.6982758045196533,0.014124595560133457,11.896524429321289,0.012575831264257431,7.495994567871094,0.012801744975149632,7.702919960021973
15,"v4,v1,v3,v2",60,60,60,60,0.008844788069836795,7.855300009250641,0.7485918700695038,0.09380129096098244,0.010687661357223988,3.7572929859161377,0.007097858469933271,12.172612190246582,0.007979577407240868,7.605942726135254,0.009614055044949055,7.88535213470459
16,"v2,v1,v4,v3",64,64,64,64,0.006290039047598839,11.05125629901886,0.7485918700695038,0.0937856629025191,0.008846371434628963,5.631309986114502,0.005520714446902275,16.68872833251953,0.005082443356513977,10.75301742553711,0.00571062695235014,11.131969451904297
