task,variant,metric,mean,std,n_seeds
pc,v2,auc,0.6787113814393494,0.011134376442719312,3
pc,v2,ap,0.40650532191033156,0.010352934506935054,3
pc,v2,precision,0.27553312714210065,0.014776056305910824,3
pc,v2,recall,0.8977932636469221,0.0705138640495263,3
pc,v2,f1,0.42031104022367843,0.008953073603864065,3
pc,v2,accuracy,0.3786295005807201,0.07071802235883759,3
pc,v2,mrr,0.6796360820751065,0.008047857725895231,3
pc,v2,hits@1,0.470383275261324,0.015839932284536402,3
pc,v2,hits@3,0.8745644599303136,0.012400787749165287,3
pc,v2,train_time_s,7.572866678237915,0.5080185536253722,3
pc,v2,best_val_loss,1.3433924118677776,0.005690750888628713,3
pc,v2,best_epoch,19.333333333333332,1.247219128924647,3
