super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v3,val_loss_v3
1,"v1,v3",2,2,2,2,0.6300429999828339,1.2417758703231812,1.2417758703231812,0.9089977641124278,0.6802051067352295,1.3403384685516357,0.5798808932304382,1.1432132720947266
2,"v1,v3",4,4,4,4,0.667060911655426,0.684090256690979,0.684090256690979,0.07875626091845334,0.7847153544425964,0.6861805319786072,0.5494064688682556,0.6819999814033508
3,"v1,v3",6,6,6,6,0.5807836055755615,0.6779586672782898,0.6779586672782898,0.07960000517778099,0.5664967894554138,0.6783549189567566,0.5950704216957092,0.677562415599823
4,"v1,v3",8,8,8,8,0.5831471383571625,0.6993863582611084,0.6779586672782898,0.0582400718703866,0.5866501927375793,0.7041316032409668,0.5796440839767456,0.69464111328125
5,"v3,v1",10,10,10,10,0.541451096534729,0.8862364590167999,0.6779586672782898,0.053834279999136925,0.5294229388237,0.9173398017883301,0.5534792542457581,0.8551331162452698
6,"v1,v3",12,12,12,12,0.5294834077358246,0.9972741603851318,0.6779586672782898,0.05438214913010597,0.5413359999656677,1.0402657985687256,0.5176308155059814,0.9542825222015381
7,"v1,v3",14,14,14,14,0.4920804053544998,1.155614972114563,0.6779586672782898,0.05474562989547849,0.5035232901573181,1.206207275390625,0.4806375205516815,1.105022668838501
8,"v1,v3",16,16,16,16,0.46570083498954773,1.297034502029419,0.6779586672782898,0.0546395059209317,0.4759138524532318,1.3786132335662842,0.45548781752586365,1.2154557704925537
9,"v1,v3",18,18,18,18,0.4196835607290268,1.4724684953689575,0.6779586672782898,0.052066163858398795,0.42957600951194763,1.6033289432525635,0.40979111194610596,1.3416080474853516
10,"v3,v1",20,20,20,20,0.3683626800775528,1.791288435459137,0.6779586672782898,0.05378072103485465,0.3547931909561157,1.9463852643966675,0.38193216919898987,1.6361916065216064
11,"v3,v1",22,22,22,22,0.326411634683609,1.9665109515190125,0.6779586672782898,0.052439122926443815,0.32293519377708435,2.106649160385132,0.32988807559013367,1.826372742652893
12,"v3,v1",24,24,24,24,0.2898816615343094,1.7850320935249329,0.6779586672782898,0.05408358806744218,0.28449931740760803,1.8875285387039185,0.29526400566101074,1.6825356483459473
13,"v1,v3",26,26,26,26,0.2710359990596771,1.475877583026886,0.6779586672782898,0.05325094307772815,0.2692170739173889,1.548673391342163,0.27285492420196533,1.4030817747116089
14,"v1,v3",28,28,28,28,0.253987193107605,1.4909045696258545,0.6779586672782898,0.05462237307801843,0.2560952603816986,1.558626651763916,0.25187912583351135,1.423182487487793
15,"v1,v3",30,30,30,30,0.24114863574504852,1.6351551413536072,0.6779586672782898,0.05244979704730213,0.2443820983171463,1.7029774188995361,0.23791517317295074,1.5673328638076782
16,"v1,v3",32,32,32,32,0.22682348638772964,1.6034731268882751,0.6779586672782898,0.053039231803268194,0.22961245477199554,1.6659412384033203,0.22403451800346375,1.54100501537323
17,"v3,v1",34,34,34,34,0.2094992846250534,1.5343337655067444,0.6779586672782898,0.05228747986257076,0.20452484488487244,1.5878987312316895,0.21447372436523438,1.4807687997817993
18,"v1,v3",36,36,36,36,0.1926986500620842,1.4755799770355225,0.6779586672782898,0.05223006708547473,0.19564178586006165,1.5121662616729736,0.18975551426410675,1.4389936923980713
