task,seed,variants,batch_size,effective_batch_size,batches_per_variant,super_epochs_ran,variant_epochs_ran,optimizer_steps,training_seconds,best_mean_val_loss,mean_test_AUC,mean_test_AP,mean_test_Precision,mean_test_Recall,mean_test_F1,mean_test_Accuracy,mean_test_MRR,mean_test_Hits@1,mean_test_Hits@3,mean_test_Hits@5,mean_test_ranking_queries,mean_test_edge_count,mean_test_p1_mapping_count,mean_test_c2_mapping_count,parameter_bytes,buffer_bytes,static_model_bytes,checkpoint_bytes,process_peak_rss_bytes,training_gpu_allocated_bytes,training_gpu_reserved_bytes,training_gpu_peak_allocated_bytes,training_gpu_peak_reserved_bytes,inference_gpu_allocated_bytes,inference_gpu_reserved_bytes,inference_gpu_peak_allocated_bytes,inference_gpu_peak_reserved_bytes
md,1566911444,"v1,v3",0,2926,1,18,36,36,2.882843393832445,0.6779586672782898,0.508867312085587,0.0794793021726658,0.05,1.0,0.09523809523809523,0.05,0.26524848232111,0.1261961722488038,0.2888755980861244,0.3929425837320574,836.0,47640.0,15701.0,47640.0,4268288,0,4268288,4278027,1034588160,22310912,473956352,441846272,473956352,22310912,115343360,100542976,115343360
md,20241017,"v1,v3",0,2926,1,18,36,36,2.013642549980432,0.6789768040180206,0.510077529041291,0.07962662705674045,0.05,1.0,0.09523809523809523,0.05,0.26064877792453267,0.11782296650717702,0.28767942583732053,0.388755980861244,836.0,47640.0,15701.0,47640.0,4268288,0,4268288,4278027,1047334912,22310912,473956352,441846272,473956352,22310912,115343360,100542976,115343360
md,20251017,"v1,v3",0,2926,1,18,36,36,2.03677418990992,0.6803106069564819,0.5084752652002136,0.08009217351754244,0.05,1.0,0.09523809523809523,0.05,0.26251781084437326,0.12200956937799043,0.2894736842105263,0.3845693779904306,836.0,47640.0,15701.0,47640.0,4268288,0,4268288,4278027,1049399296,22310912,473956352,441846272,473956352,22310912,115343360,100542976,115343360
