super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v3,val_loss_v3
1,"v3,v1",2,2,2,2,0.628194123506546,1.1106945276260376,1.1106945276260376,0.08148716716095805,0.57139652967453,1.1758588552474976,0.684991717338562,1.0455302000045776
2,"v3,v1",4,4,4,4,0.5942070782184601,0.6869229078292847,0.6869229078292847,0.07261566002853215,0.5477971434593201,0.6897061467170715,0.6406170129776001,0.6841396689414978
3,"v1,v3",6,6,6,6,0.5722914040088654,0.6803106069564819,0.6803106069564819,0.07964183110743761,0.5594117045402527,0.6814262866973877,0.585171103477478,0.6791949272155762
4,"v3,v1",8,8,8,8,0.5683936476707458,0.7155526876449585,0.6803106069564819,0.05376354791224003,0.5556157827377319,0.7224077582359314,0.5811715126037598,0.7086976170539856
5,"v3,v1",10,10,10,10,0.5317471623420715,0.9087072312831879,0.6803106069564819,0.05462243594229221,0.5234113335609436,0.9387025237083435,0.5400829911231995,0.8787119388580322
6,"v1,v3",12,12,12,12,0.51906418800354,1.0821678042411804,0.6803106069564819,0.053413320099934936,0.5291896462440491,1.1217321157455444,0.508938729763031,1.0426034927368164
7,"v1,v3",14,14,14,14,0.4882681965827942,1.119467556476593,0.6803106069564819,0.05226317513734102,0.49832969903945923,1.1545745134353638,0.47820669412612915,1.0843605995178223
8,"v1,v3",16,16,16,16,0.46684783697128296,1.1982911229133606,0.6803106069564819,0.05303702806122601,0.47076624631881714,1.2460440397262573,0.4629294276237488,1.1505382061004639
9,"v1,v3",18,18,18,18,0.42877979576587677,1.5861956477165222,0.6803106069564819,0.0529337921179831,0.43873897194862366,1.703506350517273,0.4188206195831299,1.4688849449157715
10,"v3,v1",20,20,20,20,0.38447578251361847,1.9079877138137817,0.6803106069564819,0.054004544857889414,0.3700399398803711,2.0779008865356445,0.39891162514686584,1.738074541091919
11,"v1,v3",22,22,22,22,0.342165470123291,1.8922484517097473,0.6803106069564819,0.0529762280639261,0.35462337732315063,2.060502052307129,0.3297075629234314,1.7239948511123657
12,"v3,v1",24,24,24,24,0.29961417615413666,1.7578767538070679,0.6803106069564819,0.0530521790497005,0.2928448021411896,1.886022925376892,0.30638355016708374,1.6297305822372437
13,"v1,v3",26,26,26,26,0.27605269849300385,1.5246254801750183,0.6803106069564819,0.053417490096762776,0.27677685022354126,1.6215142011642456,0.27532854676246643,1.427736759185791
14,"v1,v3",28,28,28,28,0.24663350731134415,1.4108853936195374,0.6803106069564819,0.053859453182667494,0.24919568002223969,1.4968059062957764,0.2440713346004486,1.3249648809432983
15,"v1,v3",30,30,30,30,0.22630732506513596,1.5218457579612732,0.6803106069564819,0.05312612699344754,0.23076485097408295,1.6058366298675537,0.22184979915618896,1.4378548860549927
16,"v3,v1",32,32,32,32,0.20350470393896103,1.621216595172882,0.6803106069564819,0.05340924905613065,0.19565019011497498,1.7061632871627808,0.21135921776294708,1.5362699031829834
17,"v3,v1",34,34,34,34,0.18349231034517288,1.5517160892486572,0.6803106069564819,0.05557441897690296,0.1763521432876587,1.6249698400497437,0.19063247740268707,1.4784623384475708
18,"v1,v3",36,36,36,36,0.16174166649580002,1.5577034950256348,0.6803106069564819,0.05351503100246191,0.16381952166557312,1.6229220628738403,0.15966381132602692,1.4924849271774292
