task,variant,metric,mean,std,n_seeds
ml,v3,auc,0.45308422767617057,0.0017773702317071048,3
ml,v3,ap,0.0454221206124902,0.0007508138831519274,3
ml,v3,precision,0.05000000000000001,6.938893903907228e-18,3
ml,v3,recall,1.0,0.0,3
ml,v3,f1,0.09523809523809523,0.0,3
ml,v3,accuracy,0.05000000000000001,6.938893903907228e-18,3
ml,v3,mrr,0.16312175640814708,0.004088559383844563,3
ml,v3,hits@1,0.04425837320574163,0.004475666730590839,3
ml,v3,hits@3,0.1291866028708134,0.004475666730590845,3
ml,v3,hits@5,0.20893141945773527,0.005379081963011175,3
ml,v3,train_time_s,34.84228308995565,0.1614054237090214,3
ml,v3,best_val_loss,0.6953964034716288,0.000248074528372697,3
ml,v3,best_epoch,1.0,0.0,3
