task,variant,metric,mean,std,n_seeds
mg,v4,auc,0.4986829227810719,0.02007083194586869,3
mg,v4,ap,0.3331815917265852,0.011363891377940786,3
mg,v4,precision,0.3333333333333333,0.0,3
mg,v4,recall,1.0,0.0,3
mg,v4,f1,0.5,0.0,3
mg,v4,accuracy,0.3333333333333333,0.0,3
mg,v4,mrr,0.6081871345029239,0.02350800759104388,3
mg,v4,hits@1,0.32894736842105265,0.03721614637823933,3
mg,v4,hits@3,1.0,0.0,3
mg,v4,hits@5,1.0,0.0,3
mg,v4,train_time_s,20.130510648091633,1.4872858623411171,3
mg,v4,best_val_loss,0.7137231429417928,0.040163333763672315,3
mg,v4,best_epoch,3.3333333333333335,1.247219128924647,3
