task,variant,metric,mean,std,n_seeds
mg,v2,auc,0.49983175846859434,0.03166277636737652,3
mg,v2,ap,0.3332376971076785,0.02059927383624987,3
mg,v2,precision,0.3333333333333333,0.0,3
mg,v2,recall,1.0,0.0,3
mg,v2,f1,0.5,0.0,3
mg,v2,accuracy,0.3333333333333333,0.0,3
mg,v2,mrr,0.6126395534290271,0.025197027630955895,3
mg,v2,hits@1,0.3365231259968102,0.041024038650373164,3
mg,v2,hits@3,1.0,0.0,3
mg,v2,hits@5,1.0,0.0,3
mg,v2,train_time_s,22.528851350148518,4.24682159939129,3
mg,v2,best_val_loss,0.6977478861808777,0.010041508535965046,3
mg,v2,best_epoch,5.666666666666667,3.858612300930075,3
