task,variant,metric,mean,std,n_seeds
ml,v4,auc,0.4335972282300265,0.0068199254329517605,3
ml,v4,ap,0.0420652675805474,0.0008904730151721647,3
ml,v4,precision,0.05000000000000001,6.938893903907228e-18,3
ml,v4,recall,1.0,0.0,3
ml,v4,f1,0.09523809523809523,0.0,3
ml,v4,accuracy,0.05000000000000001,6.938893903907228e-18,3
ml,v4,mrr,0.1348895958844279,0.007644699866263559,3
ml,v4,hits@1,0.025119617224880385,0.005940855034191124,3
ml,v4,hits@3,0.0861244019138756,0.00586002330809373,3
ml,v4,hits@5,0.15789473684210528,0.022967337837184486,3
ml,v4,train_time_s,0.486591895421346,0.18094046232883443,3
ml,v4,best_val_loss,0.6960685650507609,0.0007035557828326952,3
ml,v4,best_epoch,1.0,0.0,3
