variant_a,variant_b,candidate_count,query_count,kendall_tau_scores,prediction_agreement,rank_agreement,kendall_tau_positive_ranks,hits_at_1_agreement,hits_at_3_agreement,max_abs_score_diff,mean_abs_score_diff
v1,v2,16720,836,0.7214055856012433,1.0,0.2727272727272727,0.597432236243737,0.9880382775119617,0.9700956937799043,0.20823752880096436,0.06462290520873366
v1,v3,16720,836,0.7697835337173533,1.0,0.29904306220095694,0.6292882082704815,0.9904306220095693,0.9677033492822966,0.17913925647735596,0.03759569857608188
v1,v4,16720,836,0.8270047530438068,1.0,0.45933014354066987,0.7928392172351635,0.9952153110047847,0.9916267942583732,0.10216748714447021,0.033051371823942834
v2,v3,16720,836,0.9110651886140593,1.0,0.4916267942583732,0.8554110314857223,0.992822966507177,0.9784688995215312,0.08546715974807739,0.02702720663265178
v2,v4,16720,836,0.8591470531994045,1.0,0.3397129186602871,0.7058498119070649,0.9904306220095693,0.9736842105263158,0.1618834137916565,0.03157153338479083
v3,v4,16720,836,0.8376824095833382,1.0,0.3241626794258373,0.6352428967646997,0.9880382775119617,0.9665071770334929,0.14638185501098633,0.008244643060927186
