super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,mean_val_macro_f1,best_mean_val_macro_f1,cycle_seconds,train_loss_v1,val_loss_v1,val_macro_f1_v1,val_accuracy_v1,train_loss_v2,val_loss_v2,val_macro_f1_v2,val_accuracy_v2,train_loss_v3,val_loss_v3,val_macro_f1_v3,val_accuracy_v3,train_loss_v4,val_loss_v4,val_macro_f1_v4,val_accuracy_v4
1,"v1,v3,v4,v2",4,4,4,4,1.0900025367736816,1.0979796946048737,0.3106604462342667,0.3106604462342667,0.9842976022046059,1.1105421781539917,1.1146363019943237,0.22850637522768671,0.3803827751196172,1.0721728801727295,1.0878307819366455,0.3420715482408594,0.44019138755980863,1.0954011678695679,1.092529058456421,0.35083303368093005,0.4473684210526316,1.0818939208984375,1.0969226360321045,0.3212308277875906,0.4258373205741627
2,"v1,v4,v3,v2",8,8,8,8,0.9827778041362762,1.1540250331163406,0.2624602670604013,0.3106604462342667,0.1629446849692613,1.0430241823196411,1.534926176071167,0.1908037711728987,0.36363636363636365,0.9115021824836731,0.9865209460258484,0.3241233245590149,0.4354066985645933,0.9668101668357849,1.024043321609497,0.27431174489998017,0.40669856459330145,1.0097746849060059,1.07060968875885,0.2606022276097115,0.39712918660287083
3,"v1,v3,v4,v2",12,12,12,12,0.8990646153688431,1.0307483971118927,0.4851140545701496,0.4851140545701496,0.17210008692927659,1.125734806060791,1.084027647972107,0.48665419818622446,0.5263157894736842,0.832882821559906,1.0041580200195312,0.48440566522293027,0.5239234449760766,0.8069761395454407,1.01030433177948,0.4859857439644674,0.5311004784688995,0.8306646943092346,1.0245035886764526,0.4834106109069762,0.5215311004784688
4,"v2,v4,v3,v1",16,16,16,16,0.631072923541069,1.058859720826149,0.5994145323733318,0.5994145323733318,0.17209305590949953,0.4734917879104614,1.178165078163147,0.5925767282008517,0.5956937799043063,0.7792460322380066,0.9871793389320374,0.6032937914695449,0.6052631578947368,0.6058459877967834,1.0135254859924316,0.6073511820531688,0.6100478468899522,0.6657078862190247,1.05656898021698,0.5944364277697611,0.5980861244019139
5,"v1,v2,v3,v4",20,20,20,20,0.3225308731198311,1.5707098245620728,0.6093878395748203,0.6093878395748203,0.17026210599578917,0.3800121545791626,1.934775710105896,0.6178193188366354,0.6196172248803827,0.3751964271068573,1.342327356338501,0.6045030157701224,0.6076555023923444,0.289293110370636,1.436468243598938,0.6076986502047032,0.6100478468899522,0.24562180042266846,1.569267988204956,0.6075303734878202,0.6100478468899522
6,"v1,v3,v4,v2",24,24,24,24,0.17402878031134605,2.856314182281494,0.605256398984919,0.6093878395748203,0.1571750349830836,0.2236584722995758,3.8503525257110596,0.6067076438668185,0.6052631578947368,0.131195530295372,2.2278661727905273,0.6056497445339838,0.6052631578947368,0.18966686725616455,2.499685764312744,0.6042919681944072,0.6028708133971292,0.15159425139427185,2.8473522663116455,0.6043762393444666,0.6028708133971292
7,"v2,v3,v1,v4",28,28,28,28,0.1004589032381773,3.8818241357803345,0.604905753668638,0.6093878395748203,0.15792744420468807,0.10281211137771606,5.251958847045898,0.6117481498297713,0.6124401913875598,0.11923841387033463,3.016153335571289,0.5922567958732149,0.5933014354066986,0.1117449626326561,3.3834574222564697,0.6090475416678437,0.6100478468899522,0.06804012507200241,3.8757269382476807,0.606570527303722,0.6076555023923444
8,"v1,v4,v3,v2",32,32,32,32,0.05496262200176716,4.625487744808197,0.5861037006592776,0.6093878395748203,0.1611674609594047,0.0610622838139534,6.171409606933594,0.584814959773864,0.583732057416268,0.05223992466926575,3.640526533126831,0.587441383093557,0.5861244019138756,0.05425321310758591,4.0631794929504395,0.5876233376233376,0.5861244019138756,0.05229506641626358,4.626835346221924,0.5845351221463518,0.583732057416268
9,"v2,v4,v3,v1",36,36,36,36,0.039705497212707996,5.16895854473114,0.5835767135863782,0.6093878395748203,0.15564914094284177,0.03676965832710266,6.828668594360352,0.5825626920408365,0.5813397129186603,0.044988833367824554,4.102525234222412,0.5821913070286332,0.5813397129186603,0.036594830453395844,4.562188625335693,0.5870577405708529,0.5861244019138756,0.040468666702508926,5.1824517250061035,0.5824951147051901,0.5813397129186603
10,"v3,v1,v2,v4",40,40,40,40,0.03082674788311124,5.406761646270752,0.5944083620040486,0.6093878395748203,0.15511046000756323,0.029932523146271706,7.076597690582275,0.5906142235953515,0.5909090909090909,0.03345409035682678,4.327881336212158,0.5951924604277723,0.5956937799043063,0.033045243471860886,4.790130615234375,0.5981014176468357,0.5980861244019139,0.02687513455748558,5.432436943054199,0.593725346346235,0.5933014354066986
11,"v1,v3,v4,v2",44,44,44,44,0.026611875742673874,5.753797650337219,0.5871308477702509,0.6093878395748203,0.15698038809932768,0.026560192927718163,7.526814937591553,0.5875744047619048,0.5861244019138756,0.028946204110980034,4.615133762359619,0.5856988907700713,0.583732057416268,0.0267473254352808,5.090729236602783,0.5922105446612728,0.5909090909090909,0.0241937804967165,5.782512664794922,0.5830395508877547,0.5813397129186603
12,"v4,v2,v3,v1",48,48,48,48,0.023788627702742815,6.118092179298401,0.5929746799850196,0.6093878395748203,0.15698709688149393,0.022683747112751007,8.031949996948242,0.5906886953746375,0.5885167464114832,0.027319272980093956,4.897883415222168,0.595328644676694,0.5933014354066986,0.02295183576643467,5.4010772705078125,0.5929161905044599,0.5909090909090909,0.022199654951691628,6.141458034515381,0.5929651893842869,0.5909090909090909
13,"v4,v3,v1,v2",52,52,52,52,0.022217145189642906,6.38778018951416,0.5956516350604393,0.6093878395748203,0.15444052102975547,0.019407084211707115,8.415200233459473,0.5904748204888457,0.5885167464114832,0.02669995091855526,5.101762771606445,0.592492654498642,0.5909090909090909,0.021426215767860413,5.6244120597839355,0.5999816225383661,0.5980861244019139,0.021335329860448837,6.409745693206787,0.5996574427159035,0.5980861244019139
14,"v1,v2,v4,v3",56,56,56,56,0.021084659732878208,6.757579207420349,0.5881960437559763,0.6093878395748203,0.15472845709882677,0.018111692741513252,8.982357025146484,0.5858921716180255,0.583732057416268,0.026950711384415627,5.3536224365234375,0.5902971684144429,0.5885167464114832,0.01978158764541149,5.915457725524902,0.5928545251978583,0.5909090909090909,0.019494647160172462,6.778879642486572,0.5837403097935787,0.5813397129186603
15,"v4,v1,v2,v3",60,60,60,60,0.01920667290687561,7.079501032829285,0.5874872586774784,0.6093878395748203,0.16047154390253127,0.017615314573049545,9.44894790649414,0.5854344430856887,0.583732057416268,0.024068813771009445,5.587170600891113,0.5881304084655473,0.5861244019138756,0.017707381397485733,6.176124095916748,0.5928424391783838,0.5909090909090909,0.017435181885957718,7.105761528015137,0.5835417439802938,0.5813397129186603
16,"v3,v2,v4,v1",64,64,64,64,0.017427764600142837,7.414961576461792,0.5878741197329049,0.6093878395748203,0.15581242297776043,0.01279191579669714,9.943805694580078,0.58726193960851,0.5861244019138756,0.024764010682702065,5.8239359855651855,0.5881304084655473,0.5861244019138756,0.017026439309120178,6.443690776824951,0.5904245446695878,0.5885167464114832,0.015128692612051964,7.448413848876953,0.5856795861879746,0.583732057416268
17,"v2,v4,v1,v3",68,68,68,68,0.015514746541157365,7.826442360877991,0.5884071311591087,0.6093878395748203,0.15762012195773423,0.011146128177642822,10.577713966369629,0.5949341292959806,0.5933014354066986,0.023896122351288795,6.098479270935059,0.585538436455531,0.583732057416268,0.013117869384586811,6.764058589935303,0.5902111789208563,0.5885167464114832,0.01389886625111103,7.865517616271973,0.5829447799640669,0.5813397129186603
18,"v4,v2,v1,v3",72,72,72,72,0.01415809290483594,8.370160222053528,0.5892009556075054,0.6093878395748203,0.1573922170791775,0.008527836762368679,11.459663391113281,0.592467056062716,0.5909090909090909,0.024718670174479485,6.435178756713867,0.5886107934143682,0.5861244019138756,0.011149508878588676,7.17016077041626,0.5926006651813104,0.5909090909090909,0.012236355803906918,8.415637969970703,0.5831253077716272,0.5813397129186603
19,"v1,v2,v4,v3",76,76,76,76,0.012666370952501893,8.914837002754211,0.5904283673953903,0.6093878395748203,0.15618949010968208,0.008182489313185215,12.36288833618164,0.5965140954852206,0.5956937799043063,0.024531595408916473,6.7578277587890625,0.5900389113225913,0.5885167464114832,0.008690943010151386,7.567305088043213,0.5900672522505491,0.5885167464114832,0.009260456077754498,8.97132682800293,0.5850932105231998,0.583732057416268
