super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,mean_val_macro_f1,best_mean_val_macro_f1,cycle_seconds,train_loss_v1,val_loss_v1,val_macro_f1_v1,val_accuracy_v1,train_loss_v2,val_loss_v2,val_macro_f1_v2,val_accuracy_v2,train_loss_v3,val_loss_v3,val_macro_f1_v3,val_accuracy_v3,train_loss_v4,val_loss_v4,val_macro_f1_v4,val_accuracy_v4
1,"v4,v2,v1,v3",4,4,4,4,1.0825825035572052,1.0956649780273438,0.17694065185099947,0.17694065185099947,0.19111849088221788,1.0750731229782104,1.1078245639801025,0.17519106407995297,0.35645933014354064,1.0889062881469727,1.0868186950683594,0.18156926980456392,0.3588516746411483,1.0648908615112305,1.0922764539718628,0.17581120943952802,0.35645933014354064,1.1014597415924072,1.0957401990890503,0.17519106407995297,0.35645933014354064
2,"v1,v2,v4,v3",8,8,8,8,0.9623171836137772,1.0433192551136017,0.3442452007844836,0.3442452007844836,0.17067164508625865,1.0363526344299316,1.2157648801803589,0.3247833736167974,0.44019138755980863,1.0072609186172485,0.9652690887451172,0.36397735652856694,0.46411483253588515,0.8735058903694153,0.9842857122421265,0.3493608700053816,0.45215311004784686,0.9321492910385132,1.0079573392868042,0.3388592029871886,0.4449760765550239
3,"v1,v3,v4,v2",12,12,12,12,0.8184299170970917,0.9163196533918381,0.56756631657401,0.56756631657401,0.17596442718058825,0.918136715888977,0.9228863716125488,0.5568514265499447,0.5645933014354066,0.7737113237380981,0.9166267514228821,0.5756764258088651,0.5789473684210527,0.7952765822410583,0.9128363132476807,0.5701785142845092,0.5765550239234449,0.7865950465202332,0.9129291772842407,0.5675588996527212,0.5741626794258373
4,"v4,v1,v2,v3",16,16,16,16,0.45724471658468246,1.1591784954071045,0.617850226999537,0.617850226999537,0.1729044709354639,0.42705827951431274,1.3727383613586426,0.6217911728393853,0.6220095693779905,0.4289032518863678,1.0324610471725464,0.6145819554076555,0.6172248803827751,0.35257643461227417,1.0722249746322632,0.6186141454264592,0.6196172248803827,0.6204409003257751,1.1592895984649658,0.6164136343246476,0.6172248803827751
5,"v1,v3,v2,v4",20,20,20,20,0.2407054603099823,2.161918133497238,0.6102880405343681,0.617850226999537,0.1569576789624989,0.2897672653198242,2.948861598968506,0.6068164686864934,0.6028708133971292,0.21045859158039093,1.6710162162780762,0.6074885703215808,0.6028708133971292,0.2456420212984085,1.8646234273910522,0.6167485446097674,0.6124401913875598,0.21695396304130554,2.1631712913513184,0.6100985785196311,0.6052631578947368
6,"v3,v2,v4,v1",24,24,24,24,0.12818594835698605,2.8044907450675964,0.6106651124628779,0.617850226999537,0.1552765630185604,0.0987115129828453,3.584345817565918,0.6098121777331025,0.6076555023923444,0.1313294917345047,2.308868169784546,0.6091981736769858,0.6076555023923444,0.1670568883419037,2.5005857944488525,0.6136513116605999,0.6124401913875598,0.11564590036869049,2.8241631984710693,0.6099987867808233,0.6076555023923444
7,"v3,v4,v1,v2",28,28,28,28,0.07473238930106163,3.1922468543052673,0.6045784216617959,0.617850226999537,0.1565899068955332,0.05818028748035431,4.061467170715332,0.6062739100727773,0.6028708133971292,0.0641482025384903,2.6341350078582764,0.600500776405916,0.5980861244019139,0.09707256406545639,2.8520636558532715,0.6054615271781046,0.6028708133971292,0.07952850311994553,3.2213215827941895,0.6060774729903856,0.6028708133971292
8,"v1,v3,v4,v2",32,32,32,32,0.043681479059159756,3.5429853796958923,0.5980087117317413,0.617850226999537,0.15489880996756256,0.050197284668684006,4.471795558929443,0.6053707871213615,0.6028708133971292,0.04188895225524902,2.9326395988464355,0.5953800215213684,0.5933014354066986,0.043739452958106995,3.1765782833099365,0.5952445306589339,0.5933014354066986,0.038900226354599,3.590928077697754,0.5960395076253014,0.5933014354066986
9,"v2,v1,v4,v3",36,36,36,36,0.03169927606359124,3.910604476928711,0.601744212980097,0.617850226999537,0.1565426210872829,0.029326478019356728,4.9247870445251465,0.6044694905239393,0.6028708133971292,0.03843206167221069,3.2348110675811768,0.6022338403041824,0.6004784688995215,0.030261829495429993,3.5075278282165527,0.5951854821943033,0.5933014354066986,0.028776735067367554,3.9752919673919678,0.6050880388979631,0.6028708133971292
10,"v1,v2,v4,v3",40,40,40,40,0.02655081544071436,4.276402533054352,0.6062501838874621,0.617850226999537,0.160186932887882,0.02497192658483982,5.411586284637451,0.6116589209372715,0.6100478468899522,0.031125079840421677,3.5144968032836914,0.604344193817878,0.6028708133971292,0.025217166170477867,3.822413682937622,0.6020617926311341,0.6004784688995215,0.024889089167118073,4.357113361358643,0.6069358281635648,0.6052631578947368
11,"v4,v3,v1,v2",44,44,44,44,0.02313094213604927,4.688011288642883,0.6062704482431697,0.617850226999537,0.15562167414464056,0.0199061781167984,6.006255149841309,0.6165263341183281,0.6148325358851675,0.026610147207975388,3.799315929412842,0.5923557773712801,0.5909090909090909,0.02421090379357338,4.166041374206543,0.6092377071520408,0.6076555023923444,0.021796539425849915,4.78043270111084,0.6069619743310298,0.6052631578947368
12,"v2,v4,v1,v3",48,48,48,48,0.02051087561994791,5.133388519287109,0.6048024316527135,0.617850226999537,0.1561779489275068,0.017549697309732437,6.6656084060668945,0.6162636994793341,0.6148325358851675,0.025376632809638977,4.098278522491455,0.5946288112198969,0.5933014354066986,0.01978745125234127,4.5337443351745605,0.6043884305014053,0.6028708133971292,0.019329721108078957,5.235922813415527,0.6039287854102179,0.6028708133971292
13,"v4,v1,v2,v3",52,52,52,52,0.01904951548203826,5.606794357299805,0.6058108445697571,0.617850226999537,0.15466615394689143,0.01632809266448021,7.3822245597839355,0.6194256379678474,0.6172248803827751,0.025182804092764854,4.40199613571167,0.5995378325038375,0.5980861244019139,0.017200307920575142,4.922989368438721,0.5998799451347043,0.5980861244019139,0.017486857250332832,5.719967365264893,0.604399962672639,0.6028708133971292
