super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v2,val_loss_v2,train_loss_v3,val_loss_v3,train_loss_v4,val_loss_v4
1,"v1,v3,v4,v2",4,4,4,4,80.05694770812988,18.147732734680176,18.147732734680176,0.5020018049981445,4.753360748291016,29.7088623046875,17.087352752685547,6.1474714279174805,220.91912841796875,12.525067329406738,77.46794891357422,24.209529876708984
2,"v1,v4,v3,v2",8,8,8,8,3.3001736998558044,33.34606885910034,18.147732734680176,0.11095328582450747,4.589887619018555,54.38077163696289,1.9030916690826416,11.786523818969727,2.9043822288513184,22.790748596191406,3.803333282470703,44.426231384277344
3,"v1,v3,v4,v2",12,12,12,12,1.7219967618584633,34.847047567367554,18.147732734680176,0.11053667799569666,3.98519229888916,56.970191955566406,2.29982852935791,12.178301811218262,0.3871755599975586,23.72806167602539,0.21579065918922424,46.511634826660156
4,"v2,v4,v3,v1",16,16,16,16,1.0318766883574426,25.76448082923889,18.147732734680176,0.10512524098157883,0.02288486622273922,41.5615348815918,1.4497153759002686,9.346308708190918,0.8024426698684692,17.92852210998535,1.8524638414382935,34.2215576171875
5,"v1,v2,v3,v4",20,20,20,20,0.023080573184415698,21.319257855415344,18.147732734680176,0.10279894690029323,0.036510877311229706,34.207176208496094,0.014863529242575169,7.707009792327881,0.009441578760743141,15.027567863464355,0.03150630742311478,28.335277557373047
6,"v1,v3,v4,v2",24,24,24,24,0.009966133002308197,18.11463189125061,18.11463189125061,0.12731071910820901,0.030832812190055847,28.680356979370117,0.000515826337505132,6.703803062438965,0.0033028009347617626,13.03053092956543,0.0052130925469100475,24.04383659362793
7,"v2,v3,v1,v4",28,28,28,28,0.00014409779623747454,15.183761477470398,15.183761477470398,0.12348335096612573,7.191405893536285e-05,23.621339797973633,0.00018806973821483552,5.7665228843688965,0.00030262322979979217,11.208063125610352,1.378415799990762e-05,20.13912010192871
8,"v1,v4,v3,v2",32,32,32,32,0.0018696046816888412,12.9977548122406,12.9977548122406,0.12365843402221799,9.662057465220641e-08,19.81572151184082,0.005338069051504135,5.076991081237793,0.0020302555058151484,9.872873306274414,0.0001099975488614291,17.225433349609375
9,"v2,v4,v3,v1",36,36,36,36,0.002413020819972189,12.005024790763855,12.005024790763855,0.1287941059563309,3.4883910302596632e-06,18.052270889282227,0.006742449942976236,4.7710747718811035,0.002520353300496936,9.293988227844238,0.00038579164538532495,15.902765274047852
10,"v3,v1,v2,v4",40,40,40,40,0.0013596500254796362,14.009844064712524,12.005024790763855,0.10553938988596201,0.0035417331382632256,21.2646427154541,8.13654150988441e-06,5.519336700439453,0.0018887293990701437,10.70242977142334,1.0230752911510876e-09,18.552967071533203
