task,variant,metric,mean,std,n_seeds
pc,v1,auc,0.608948078395139,0.013070376575938443,3
pc,v1,ap,0.3651468850012705,0.03054800046352874,3
pc,v1,precision,0.23599772053233203,0.005862666483454934,3
pc,v1,recall,0.8187950686206095,0.027075604568088198,3
pc,v1,f1,0.36621699201162633,0.005630111087164677,3
pc,v1,accuracy,0.29105605954873226,0.03251954720451723,3
pc,v1,mrr,0.6262793672947197,0.014020456061891978,3
pc,v1,hits@1,0.40951384042800654,0.02011726042925995,3
pc,v1,hits@3,0.7909979064898813,0.013095676340015103,3
pc,v1,train_time_s,1.4468688756848376,0.2514994889819809,3
pc,v1,eval_time_s,0.10555142598847549,0.06217927666500838,3
pc,v1,elapsed_time_s,1.8025830186670646,0.4932603669792403,3
pc,v1,time_to_best_s,0.9813911266392097,0.25105519459539677,3
pc,v1,best_val_loss,8.131872018178305,5.0334077378998066,3
pc,v1,best_epoch,8.0,2.160246899469287,3
pc,v1,epochs_trained,13.0,2.160246899469287,3
