variant_a,variant_b,n_seeds,overall_tau_mean,overall_tau_std,mrr_rank_spearman_mean,mrr_rank_spearman_std,per_query_tau_mean,per_query_tau_std,top1_match_mean,top1_match_std,top3_tau_mean,top3_tau_std,hit1_tau_mean,hit1_tau_std,hit3_tau_mean,hit3_tau_std
no_changes,all_inverse_edges,3,0.054790967769644955,0.017118542709222622,0.4168168621455077,0.038553260642193804,0.07916203246900348,0.004626721682243142,0.12620071684587816,0.004250902101575063,-0.4881362007168459,0.018244403120584153,0.5509919007660219,0.0038867498311540532,0.48348190894531845,0.0047221418618436746
no_changes,transitive_edges,3,0.10697446724940002,0.24701752865821466,0.7847153996130518,0.04346104450020977,0.44719144436766917,0.03493237877205165,0.27204301075268816,0.030102278088302917,-0.19384229390681,0.04246711429618569,0.6190330947607082,0.005220355440627349,0.6486947747770283,0.010856691790811916
all_inverse_edges,transitive_edges,3,0.05888749742566752,0.007880200690069717,0.43916728828803575,0.011468769539831235,0.08695719771270931,0.008451489552666641,0.0692831541218638,0.0011458327858885854,-0.4977204301075268,0.0024841855807482315,0.4255149585035278,0.00971515887841011,0.43402891514600195,0.01109248138358685
